algorithm,array_type,n,time_ms,char_cmp
std_quick,reversed,900,0.0768,11189
std_merge,reversed,900,0.0635,6237
str_quick,reversed,900,0.0972,9209
str_merge,reversed,900,1.3693,3491
msd_radix,reversed,900,0.6738,4350
msd_radixQ,reversed,900,0.4107,6080
std_quick,almost,900,0.1180,17515
std_merge,almost,900,0.0939,11071
str_quick,almost,900,0.1169,9455
str_merge,almost,900,1.4492,3551
msd_radix,almost,900,0.6640,4258
msd_radixQ,almost,900,0.2790,6340
std_quick,random,1000,0.1621,16237
std_merge,random,1000,0.1798,12767
str_quick,random,1000,0.2085,9167
str_merge,random,1000,2.0193,7933
msd_radix,random,1000,0.6653,4330
msd_radixQ,random,1000,0.3383,5071
std_quick,reversed,1000,0.0722,12273
std_merge,reversed,1000,0.1243,6908
str_quick,reversed,1000,0.1543,10458
str_merge,reversed,1000,1.5046,3885
msd_radix,reversed,1000,1.0470,4830
msd_radixQ,reversed,1000,0.5190,6737
std_quick,almost,1000,0.1430,22204
std_merge,almost,1000,0.1439,12010
str_quick,almost,1000,0.1155,10551
str_merge,almost,1000,1.6149,4116
msd_radix,almost,1000,0.6007,4728
msd_radixQ,almost,1000,0.2970,7101
std_quick,random,1100,0.1783,18015
std_merge,random,1100,0.2089,14075
str_quick,random,1100,0.2301,10415
str_merge,random,1100,2.1310,8806
msd_radix,random,1100,1.0110,4792
msd_radixQ,random,1100,0.5832,5713
std_quick,reversed,1100,0.0759,15767
std_merge,reversed,1100,0.0829,7591
str_quick,reversed,1100,0.1220,12053
str_merge,reversed,1100,2.1390,4268
msd_radix,reversed,1100,0.8834,5316
msd_radixQ,reversed,1100,0.5722,7421
std_quick,almost,1100,0.1768,22314
std_merge,almost,1100,0.1010,13113
str_quick,almost,1100,0.1662,11664
str_merge,almost,1100,1.8030,4407
msd_radix,almost,1100,0.9457,5206
msd_radixQ,almost,1100,0.3933,7809
std_quick,random,1200,0.2001,20317
std_merge,random,1200,0.2309,15540
str_quick,random,1200,0.2118,11542
str_merge,random,1200,2.7741,9807
msd_radix,random,1200,1.1959,5286
msd_radixQ,random,1200,0.5041,6361
std_quick,reversed,1200,0.0743,17080
std_merge,reversed,1200,0.0799,8373
str_quick,reversed,1200,0.1310,13307
str_merge,reversed,1200,2.1377,4778
msd_radix,reversed,1200,0.8868,5792
msd_radixQ,reversed,1200,0.6033,8069
std_quick,almost,1200,0.1801,27757
